id,category_name,parent_category
192,"Smart Home: Plugs and Outlets","Smart Home"
193,"Smart Home: Vacuums and Mops","Smart Home"
194,"Smart Home Thermostats - Compatibility Checker","Smart Home"
195,"Smart Home: Lawn and Garden","Smart Home"
196,"Smart Home: Other Solutions","Smart Home"
197,"Smart Home - Heating & Cooling","Smart Home"
198,"Sports & Fitness","Sports & Outdoors"
199,"Outdoor Recreation","Sports & Outdoors"
200,"Sports & Outdoors","Sports & Outdoors"
201,"Home Appliances","Home & Kitchen"
203,"Pumps & Plumbing Equipment","Tools & Home Improvement"
204,"Paint, Wall Treatments & Supplies","Tools & Home Improvement"
205,"Safety & Security","Tools & Home Improvement"
206,"Light Bulbs","Tools & Home Improvement"
207,"Power Tools & Hand Tools","Tools & Home Improvement"
208,"Kitchen & Bath Fixtures","Tools & Home Improvement"
209,"Lighting & Ceiling Fans","Tools & Home Improvement"
210,"Electrical Equipment","Tools & Home Improvement"
211,"Hardware","Tools & Home Improvement"
212,"Building Supplies","Tools & Home Improvement"
213,"Measuring & Layout","Tools & Home Improvement"
214,"Welding & Soldering","Tools & Home Improvement"
215,"Tools & Home Improvement","Tools & Home Improvement"
216,"Kids' Party Supplies","Toys & Games"
217,"Toy Figures & Playsets","Toys & Games"
218,"Novelty Toys & Amusements","Toys & Games"
219,"Arts & Crafts Supplies","Toys & Games"
220,"Building Toys","Toys & Games"
221,"Dolls & Accessories","Toys & Games"
222,"Kids' Electronics","Toys & Games"
223,"Games & Accessories","Toys & Games"
224,"Learning & Education Toys","Toys & Games"
225,"Kids' Dress Up & Pretend Play","Toys & Games"
226,"Puppets & Puppet Theaters","Toys & Games"
227,"Puzzles","Toys & Games"
228,"Sports & Outdoor Play Toys","Toys & Games"
229,"Stuffed Animals & Plush Toys","Toys & Games"
230,"Baby & Toddler Toys","Toys & Games"
231,"Tricycles, Scooters & Wagons","Toys & Games"
232,"Finger Toys","Toys & Games"
233,"Toy Vehicle Playsets","Toys & Games"
234,"Kids' Play Trains & Trams","Toys & Games"
235,"Kids' Play Trucks","Toys & Games"
